Variable,File,Type of variable,Project Name,Version Project,
element,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Class<?>,apache-ant-1.9.0,1.9.0,
tasks,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Hashtable<String,Class<?>>,apache-ant-1.9.0,1.9.0,
types,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Hashtable<String,Class<?>>,apache-ant-1.9.0,1.9.0,
tasks,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Enumeration<String>,apache-ant-1.9.0,1.9.0,
types,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Enumeration<String>,apache-ant-1.9.0,1.9.0,
element,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/AntStructure.java,Class<?>,apache-ant-1.9.0,1.9.0,
dirs,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Jar.java,List<String>,apache-ant-1.9.0,1.9.0,
files,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Jar.java,List<String>,apache-ant-1.9.0,1.9.0,
dirs,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Jar.java,List<String>,apache-ant-1.9.0,1.9.0,
files,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Jar.java,List<String>,apache-ant-1.9.0,1.9.0,
fileNames,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/ExecuteOn.java,Vector<String>,apache-ant-1.9.0,1.9.0,
baseDirs,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/ExecuteOn.java,Vector<File>,apache-ant-1.9.0,1.9.0,
args,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Java.java,Vector<String>,apache-ant-1.9.0,1.9.0,
adapterClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Definer.java,Class<?>,apache-ant-1.9.0,1.9.0,
adaptToClass,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Definer.java,Class<?>,apache-ant-1.9.0,1.9.0,
keys,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/KeySubst.java,Hashtable<String,String>,apache-ant-1.9.0,1.9.0,
readerSources,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Concat.java,Iterator<S>,apache-ant-1.9.0,1.9.0,
factory,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Concat.java,ReaderFactory<S>,apache-ant-1.9.0,1.9.0,
entry,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Execute.java,Entry<String,String>,apache-ant-1.9.0,1.9.0,
entry,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/Execute.java,Entry<String,String>,apache-ant-1.9.0,1.9.0,
files,/home/thiago/git/Ant/apache-ant-1.9.0/src/main/org/apache/tools/ant/taskdefs/optional/depend/AntAnalyzer.java,Vector<File>,apache-ant-1.9.0,1.9.0,
